"";"dates";"titles";"links"
"78";"17/03/2022";"Discours du Premier ministre Jean Castex - Usine Goodyear";"/discours/12746-discours-du-premier-ministre-jean-castex-usine-goodyear"
"79";"16/03/2022";"Discours du Premier ministre Jean Castex - Plan de résilience économique et sociale";"/discours/12743-discours-du-premier-ministre-jean-castex-plan-de-resilience-economique-et-sociale"
"80";"15/03/2022";"Discours du Premier ministre Jean Castex - Signature du CPER avec la région Bretagne";"/discours/12738-discours-de-m-jean-castex-premier-ministre-signature-du-cper-avec-la-region-bretagne"
"81";"14/03/2022";"Discours du Premier ministre Jean Castex - Centre hospitalier de Montauban";"/discours/12741-discours-du-premier-ministre-jean-castex-centre-hospitalier-de-montauban"
"82";"14/03/2022";"Discours du Premier ministre Jean Castex - Grand projet du Sud-Ouest (GPSO)";"/discours/12740-discours-du-premier-ministre-jean-castex-grand-projet-du-sud-ouest-gpso"
"83";"14/03/2022";"Discours du Premier ministre Jean Castex - Accélérer la transition écologique";"/discours/12739-discours-du-premier-ministre-jean-castex-accelerer-la-transition-ecologique"
"84";"11/03/2022";"Promouvoir l’industrie et le savoir-faire dans les territoires : discours de Jean Castex dans le Jura";"/discours/12735-discours-de-jean-castex-dans-le-jura"
"85";"08/03/2022";"Discours de Jean Castex : plan de lutte contre les maladies infectieuses";"/discours/12728-discours-de-jean-castex-plan-de-lutte-contre-les-maladies-infectieuses"
"86";"02/03/2022";"Discours du Premier ministre Jean Castex - Signature du contrat de sécurité intégrée à Alençon";"/discours/12723-discours-du-premier-ministre-jean-castex-signature-du-contrat-de-securite-integree-a-alencon"
"87";"01/03/2022";"Discours du Premier ministre Jean Castex - Déclaration du Gouvernement au titre de l’article 50-1 de la Constitution - Décision de la Russie de faire la guerre à l’Ukraine";"/discours/12721-discours-du-premier-ministre-jean-castex-declaration-du-gouvernement-relative-a-la-decision-de-la"
"88";"01/03/2022";"Discours du Premier ministre Jean Castex - Signature des premiers contrats d’engagement jeune";"/discours/12720-discours-du-premier-ministre-jean-castex-signature-des-premiers-contrats-d-engagement-jeune"
"89";"25/02/2022";"Discours de Jean Castex au 36ème dîner du Conseil représentatif des institutions juives de France";"/discours/12716-discours-de-jean-castex-au-36eme-diner-du-conseil-representatif-des-institutions-juives-de-france"
"90";"23/02/2022";"Discours du Premier ministre Jean Castex - Déclaration du Gouvernement relative à l'engagement de la France au Sahel au titre de l’article 50-1 de la Constitution (Sénat)";"/discours/12714-discours-du-premier-ministre-jean-castex-declaration-du-gouvernement-relative-a-l-engagement-de-la"
"91";"22/02/2022";"Discours du Premier ministre Jean Castex - Déclaration du Gouvernement relative à l'engagement de la France au Sahel au titre de l’article 50-1 de la Constitution (Assemblée nationale)";"/discours/12710-discours-du-premier-ministre-jean-castex-declaration-du-gouvernement-relative-a-l-engagement-de-la"
"92";"19/02/2022";"Discours du Premier ministre Jean Castex - Loi de programmation militaire";"/discours/12702-discours-du-premier-ministre-jean-castex-loi-de-programmation-militaire"
"93";"18/02/2022";"Discours du Premier ministre Jean Castex - Conférence des métiers de l’accompagnement social et médico-social";"/discours/12701-conference-des-metiers-de-l-accompagnement-social-et-medico-social"
"94";"18/02/2022";"Discours du Premier ministre Jean Castex - Signature du plan d’avenir pour Lourdes";"/discours/12695-discours-du-premier-ministre-jean-castex-signature-du-plan-d-avenir-pour-lourdes"
"95";"14/02/2022";"Discours du Premier ministre Jean Castex - Inauguration du contournement de Gimont dans le Gers";"/discours/12698-discours-du-premier-ministre-jean-castex-inauguration-du-contournement-de-gimont-dans-le-gers"
"96";"14/02/2022";"Discours du Premier ministre Jean Castex - Reconstruction du Centre hospitalier d’Auch";"/discours/12697-discours-du-premier-ministre-jean-castex-reconstruction-du-centre-hospitalier-d-auch"
"97";"14/02/2022";"Discours du Premier ministre Jean Castex - Cérémonie de remise du prix Ilan Halimi";"/discours/12683-discours-du-premier-ministre-jean-castex-ceremonie-de-remise-du-prix-ilan-halimi"
"98";"08/02/2022";"Discours du Premier ministre Jean Castex - Dîner annuel du Conseil de coordination des organisations arméniennes de France (CCAF)";"/discours/12677-discours-du-premier-ministre-jean-castex-diner-annuel-du-conseil-de-coordination-des-organisations"
